array1;array2;array3;array4;array5;array6;array7;array8;array9;array10;array11;array12;array13;array14;array15;array16;array17;array18;array19;array20;array21;array22;array23;array24;array25;array26;array27;array28;array29;array30;item;categorie;supercategorie
luftballon;spinne;glas;biene;fliege;apfel;mikrowelle;gondel;steckdose;ball;puppe;lineal;regal;lippenstift;schwamm;motorrad;goldfisch;schublade;schere;mülleimer;spaghetti;u-boot;schere;badewanne;rochen;kleiderschrank;delfin;hai;steckdose;hai;ente;Vögel;Tiere
marienkäfer;apfel;fliege;banane;baby;waage;fernglas;radiergummi;herd;bleistift;yacht;segelschiff;delfin;auto;schachtel;mikrofon;safe;aal;parfum;bleistift;kühlschrank;lineal;kaffeemaschine;u-boot;schachtel;kutsche;safe;schachtel;goldfisch;motorrad;taube;Vögel;Tiere
kanne;kanne;brille;baby;flasche;marienkäfer;kanu;mikrowelle;kopfkissen;kaffeemaschine;mikrowelle;kaffeemaschine;motorrad;aal;goldfisch;streichholz;tafel;fächer;ball;yacht;gondel;mikrowelle;kanu;schere;lkw;cd;motorrad;kutsche;lkw;schachtel;eule;Vögel;Tiere
banane;marienkäfer;tasse;becher;marienkäfer;glas;klammer;yacht;bleistift;yacht;radiergummi;klammer;schornstein;regal;badewanne;lkw;lkw;bus;herd;mikrowelle;teppich;segelschiff;radiergummi;herd;aal;schublade;goldfisch;rochen;schublade;streichholz;strauss;Vögel;Tiere
fächer;banane;schornstein;spinne;trauben;trauben;briefkasten;lineal;mikrowelle;radiergummi;waage;u-boot;rochen;lkw;safe;hai;aal;kleiderschrank;fenster;radiergummi;herd;bleistift;herd;gondel;regal;lkw;zigarette;schwamm;fernglas;aal;bank;Sitzen;Möbel
flasche;ball;trauben;kirsche;becher;ameise;segelschiff;glocke;gondel;kühlschrank;herd;kerze;schublade;kamera;bus;schachtel;schachtel;goldfisch;yacht;kanu;schere;kaffeemaschine;segelschiff;bleistift;kutsche;goldfisch;auto;safe;motorrad;ball;stuhl;Sitzen;Möbel
kirsche;glas;becher;tasse;mikrofon;tasse;kühlschrank;kanu;klammer;segelschiff;schere;schere;auto;kleiderschrank;kassette;bus;schwert;lkw;cd;kerze;yacht;yacht;kerze;kühlschrank;goldfisch;schwert;aal;goldfisch;kleiderschrank;schlüssel;couch;Sitzen;Möbel
biene;kirsche;marienkäfer;marienkäfer;birne;bürste;badewanne;teppich;geschirrspüler;schere;tafel;kanu;cd;delfin;regal;tafel;rochen;badewanne;bleistift;schere;kaffeemaschine;klammer;geschirrspüler;steckdose;kleiderschrank;bus;schachtel;bus;hai;schublade;sessel;Sitzen;Möbel
glas;badewanne;birne;kopfkissen;kanne;fliege;radiergummi;klammer;tafel;lippenstift;segelschiff;kühlschrank;puppe;fenster;lkw;safe;schublade;kamera;mikrowelle;u-boot;bleistift;geschirrspüler;bleistift;lineal;bus;delfin;lkw;regal;kopfhörer;teppich;hocker;Sitzen;Möbel
schokolade;bohrmaschine;baby;hand;eis;hand;zigarette;tasse;ventilator;spinne;glas;apfel;bein;bohrmaschine;bein;pfeife;bein;parfum;kamel;pferd;kuh;schlagzeug;klavier;fernglas;schere;mikrowelle;mikrowelle;schere;herd;kaffeemaschine;kirche;Gebäude;Misc II
feile;schlüssel;schraubenzieher;schraubenzieher;arm;kekse;flasche;banane;trauben;tasse;birne;spinne;schokolade;kuchen;zange;zange;kuchen;ampel;tulpe;rose;klavier;kassette;kamel;gitarre;kaffeemaschine;bleistift;schere;segelschiff;schere;radiergummi;schloss;Gebäude;Misc II
ohr;bonbon;bonbon;brille;lippenstift;hammer;birne;kerze;ameise;kirsche;kopfhörer;luftballon;hammer;bein;kekse;ohr;fernglas;ohr;gitarre;teppich;sonnenblume;schaf;schlüssel;kamel;yacht;gondel;kamera;kaffeemaschine;briefkasten;kopfhörer;burg;Gebäude;Misc II
kekse;glocke;bein;arm;bonbon;bein;parfum;flasche;schlüssel;biene;tasse;banane;steckdose;fächer;ohr;eis;zange;hammer;pfeife;geige;reh;gitarre;löwenzahn;sonnenblume;radiergummi;geschirrspüler;kühlschrank;radiergummi;u-boot;segelschiff;tempel;Gebäude;Misc II
zange;schraubenzieher;luftballon;hammer;feile;eis;schwert;kirsche;briefmarke;flasche;fliege;becher;kekse;bonbon;hammer;feile;eis;pinsel;orchidee;kamel;bürste;kopfhörer;gitarre;harfe;herd;klammer;bleistift;yacht;klammer;herd;hochhaus;Gebäude;Misc II
arm;fuss;zange;bonbon;brille;parfum;banane;fächer;kanne;banane;kirsche;biene;zange;ohr;bonbon;hand;ohr;kekse;brille;orchidee;puppe;reh;brille;reh;fächer;u-boot;kerze;herd;geschirrspüler;schere;tiger;Raubtiere;Tiere
bonbon;streichholz;ohr;waage;schokolade;kamera;marienkäfer;biene;banane;marienkäfer;steckdose;kirsche;bürste;baby;fuss;kekse;schraubenzieher;bohrmaschine;pferd;schlagzeug;pferd;tulpe;kuh;löwenzahn;bleistift;kühlschrank;segelschiff;klammer;yacht;gondel;bär;Raubtiere;Tiere
hammer;kuchen;kekse;feile;fächer;zange;käfig;kanne;marienkäfer;becher;biene;glas;ohr;schokolade;bohrmaschine;waage;käfig;arm;rose;schaf;orchidee;spaghetti;geige;geige;schlüssel;lippenstift;radiergummi;kanu;radiergummi;mikrowelle;löwe;Raubtiere;Tiere
lippenstift;hand;bohrmaschine;eis;hand;fenster;kanne;birne;tasse;trauben;banane;puppe;bohrmaschine;hammer;schokolade;schraubenzieher;schokolade;kuchen;schlüssel;cd;fächer;kuh;würfel;schaf;geschirrspüler;kanu;herd;mikrowelle;kamera;lineal;panther;Raubtiere;Tiere
bein;hammer;hand;ohr;hammer;fuss;fliege;marienkäfer;birne;bürste;briefkasten;trauben;bonbon;arm;waage;bonbon;feile;kassette;harfe;harfe;schlagzeug;sonnenblume;sonnenblume;kopfhörer;segelschiff;kaffeemaschine;gondel;bleistift;kanu;kanu;leopard;Raubtiere;Tiere
bohrmaschine;kekse;kopfhörer;fernglas;badewanne;feile;glocke;kopfhörer;fliege;kopfkissen;spinne;tasse;hand;kopfkissen;schraubenzieher;ampel;ventilator;zange;sonnenblume;käfig;löwenzahn;harfe;schlagzeug;brille;ampel;steckdose;klammer;pfeife;bleistift;geschirrspüler;ring;Schmuck;Kleidung
schlüssel;arm;schokolade;käfig;fuss;pinsel;apfel;apfel;flasche;apfel;kassette;käfig;lippenstift;schraubenzieher;hand;arm;hand;eis;kuh;tulpe;schaf;kamel;schaf;kuh;lineal;segelschiff;schlüssel;kühlschrank;kaffeemaschine;steckdose;kette;Schmuck;Kleidung
hand;zigarette;fuss;schokolade;zange;ohr;biene;ameise;lippenstift;kanne;flasche;fliege;ampel;eis;baby;kuchen;hammer;hand;briefmarke;kuh;gitarre;badewanne;rose;tulpe;gondel;herd;yacht;gondel;segelschiff;u-boot;armband;Schmuck;Kleidung
schraubenzieher;ventilator;würfel;bein;ventilator;bonbon;becher;becher;spaghetti;kassette;ameise;brille;schraubenzieher;kerze;feile;hammer;ampel;feile;klavier;gitarre;cd;löwenzahn;harfe;teppich;ventilator;radiergummi;lineal;lineal;glocke;schwamm;ohrring;Schmuck;Kleidung
kuchen;feile;eis;zange;bein;schraubenzieher;kirsche;ampel;biene;ameise;apfel;kanne;fuss;zange;kopfhörer;bein;bonbon;schokolade;schaf;sonnenblume;rose;pferd;reh;schlagzeug;tafel;briefmarke;spaghetti;puppe;kühlschrank;klammer;brosche;Schmuck;Kleidung
briefkasten;ohr;feile;kekse;kuchen;kassette;spinne;spinne;becher;glas;kanne;marienkäfer;eis;fuss;eis;schokolade;arm;bein;löwenzahn;fenster;parfum;geige;tulpe;rose;u-boot;würfel;kaffeemaschine;briefmarke;würfel;kühlschrank;messer;Kochen;Werkzeug
cd;schokolade;arm;fuss;bohrmaschine;kuchen;glas;glas;apfel;fenster;pinsel;pinsel;feile;fernglas;arm;mülleimer;bohrmaschine;schraubenzieher;geige;klavier;harfe;orchidee;glocke;pferd;kühlschrank;schere;u-boot;geschirrspüler;lineal;ventilator;löffel;Kochen;Werkzeug
eis;zange;kuchen;bohrmaschine;ohr;arm;trauben;trauben;spinne;fliege;trauben;birne;arm;feile;puppe;bohrmaschine;kekse;bonbon;reh;löwenzahn;tulpe;ventilator;pferd;klavier;klammer;yacht;steckdose;steckdose;mikrowelle;bleistift;gabel;Kochen;Werkzeug
fuss;bein;hammer;kuchen;kekse;bohrmaschine;ameise;fliege;glas;birne;becher;ameise;kuchen;hand;kuchen;schornstein;fuss;fenster;steckdose;reh;kamel;klavier;orchidee;orchidee;kanu;baby;geschirrspüler;mülleimer;kerze;yacht;kelle;Kochen;Werkzeug
fenster;eis;lippenstift;spaghetti;schraubenzieher;schokolade;tasse;mülleimer;kirsche;baby;marienkäfer;flasche;brille;kekse;fenster;fuss;steckdose;fuss;schlagzeug;waage;geige;rose;streichholz;schwamm;mikrowelle;lineal;kanu;u-boot;gondel;käfig;schneebesen;Kochen;Werkzeug
couch;taube;schloss;schloss;couch;glocke;schokolade;eis;teppich;arm;schraubenzieher;hammer;geige;zigarette;steckdose;luftballon;schlagzeug;reh;löffel;luftballon;ventilator;löffel;messer;leopard;kerze;becher;birne;kanne;kirsche;marienkäfer;baby;Filler;Filler
eule;hochhaus;eule;stuhl;puppe;ente;bein;schornstein;zange;glocke;ohr;bein;waage;gitarre;löwenzahn;pferd;streichholz;orchidee;kette;ring;messer;ohrring;leopard;kette;brille;kirsche;würfel;schlüssel;biene;kirsche;waage;Filler;Filler
kopfkissen;spaghetti;stuhl;eule;eule;stuhl;bohrmaschine;bein;ohr;bohrmaschine;eis;schokolade;reh;rose;pfeife;schlagzeug;löwenzahn;gitarre;bär;schneebesen;luftballon;panther;armband;schneebesen;banane;spinne;marienkäfer;biene;becher;becher;zigarette;Filler;Filler
stuhl;schwan;teppich;burg;tempel;tempel;bürste;kuchen;kekse;ampel;hammer;kassette;gitarre;kamel;brille;löwenzahn;pferd;kamel;kelle;panther;panther;schneebesen;löffel;tiger;kanne;mikrofon;glas;tasse;banane;kamera;kopfhörer;Filler;Filler
schwan;kirche;strauss;bank;käfig;ampel;hand;schlüssel;hammer;bein;schornstein;hand;kopfkissen;klavier;geige;kuh;puppe;lippenstift;ring;brosche;kette;steckdose;tiger;ring;fliege;trauben;pinsel;trauben;marienkäfer;apfel;ball;Filler;Filler
hochhaus;couch;hochhaus;taube;pinsel;lippenstift;feile;hand;fuss;kamera;schokolade;kekse;fernglas;tulpe;rose;harfe;bürste;geige;leopard;kelle;gabel;armband;baby;kamera;schornstein;fliege;fliege;pinsel;tasse;spinne;tafel;Filler;Filler
badewanne;cd;schwert;kirche;ente;sessel;ball;bohrmaschine;schokolade;kuchen;arm;bohrmaschine;kamel;pferd;kuh;tulpe;geige;schaf;messer;bär;brille;bär;gabel;spaghetti;becher;waage;kanne;spinne;spaghetti;glas;ampel;Filler;Filler
strauss;tempel;taube;sessel;burg;taube;luftballon;schokolade;schraubenzieher;schraubenzieher;luftballon;arm;tulpe;harfe;harfe;bürste;rose;kerze;waage;kassette;brosche;gabel;löwe;brosche;marienkäfer;apfel;tafel;kirsche;ameise;banane;kerze;Filler;Filler
tempel;hocker;kirche;teppich;sessel;hochhaus;eis;fuss;hand;ohr;bonbon;kopfkissen;zigarette;steckdose;orchidee;reh;schaf;klavier;panther;gabel;leopard;kette;kopfkissen;messer;briefmarke;ameise;ameise;glas;flasche;puppe;puppe;Filler;Filler
sessel;eule;couch;schwamm;taube;mikrofon;kerze;brille;kamera;kekse;fenster;tafel;kuh;briefmarke;pferd;sonnenblume;harfe;kuh;schornstein;leopard;badewanne;tiger;kelle;fächer;birne;tasse;kirsche;marienkäfer;birne;fliege;kamera;Filler;Filler
taube;burg;ente;couch;schloss;strauss;zange;schraubenzieher;eis;mikrofon;hand;bonbon;orchidee;kuh;gitarre;geige;kassette;löwenzahn;gabel;puppe;armband;messer;ohrring;bär;bürste;birne;kassette;birne;fliege;birne;brille;Filler;Filler
mülleimer;bank;kassette;ventilator;hocker;hocker;kekse;arm;brille;hammer;ball;zange;schlagzeug;löwenzahn;glocke;schaf;kuh;brille;armband;fächer;tiger;ring;bürste;gabel;biene;fernglas;becher;ampel;kanne;kassette;glocke;Filler;Filler
kirche;ente;bank;schwan;schwan;burg;ventilator;kekse;feile;schokolade;feile;baby;pferd;geige;schaf;pinsel;orchidee;pferd;glocke;tiger;kelle;schwamm;schneebesen;ohrring;kirsche;flasche;apfel;becher;fenster;tasse;käfig;Filler;Filler
bank;schloss;schwan;hocker;kirche;schwan;ohr;feile;kuchen;fuss;kopfkissen;eis;rose;kopfhörer;klavier;rose;briefmarke;tulpe;schneebesen;ohrring;ohrring;glocke;kette;kassette;flasche;banane;ventilator;banane;spinne;ameise;pinsel;Filler;Filler
schwamm;tafel;tempel;hochhaus;luftballon;couch;schraubenzieher;ohr;schornstein;feile;kekse;ohr;klavier;sonnenblume;tulpe;gitarre;reh;harfe;löwe;briefkasten;bär;kelle;panther;kelle;spinne;marienkäfer;spinne;teppich;kopfkissen;baby;parfum;Filler;Filler
burg;teppich;cd;ente;bank;schloss;bonbon;parfum;arm;eis;bohrmaschine;schraubenzieher;fenster;schaf;kamel;cd;sonnenblume;steckdose;ohrring;löffel;zigarette;löwe;kamera;löwe;trauben;schornstein;banane;fliege;apfel;flasche;pfeife;Filler;Filler
ente;stuhl;sessel;schwert;strauss;zigarette;fuss;hammer;bonbon;hand;fuss;kuchen;sonnenblume;schlagzeug;schlagzeug;kamel;gitarre;rose;puppe;kette;löffel;parfum;ring;fenster;glas;kanne;tasse;apfel;schwert;trauben;fenster;Filler;Filler
würfel;pinsel;burg;tempel;cd;bank;hammer;bonbon;bürste;zange;kuchen;fuss;harfe;orchidee;sonnenblume;orchidee;kamel;schlagzeug;briefkasten;löwe;ring;brosche;bär;löffel;ameise;biene;biene;flasche;glas;biene;teppich;Filler;Filler
schloss;strauss;mülleimer;parfum;stuhl;kirche;kuchen;streichholz;bohrmaschine;bonbon;zange;feile;schaf;reh;reh;schlüssel;tulpe;mülleimer;tiger;messer;löwe;leopard;schornstein;armband;apfel;bürste;trauben;zigarette;brille;kerze;fächer;Filler;Filler
hocker;sessel;hocker;strauss;hochhaus;eule;arm;zange;bein;ventilator;bein;fenster;löwenzahn;schwert;lippenstift;klavier;klavier;sonnenblume;brosche;armband;schneebesen;bürste;brosche;panther;tasse;glas;flasche;ameise;trauben;kanne;schwert;Filler;Filler
gabel;kelle;panther;löwe;löffel;löwe;hochhaus;lippenstift;burg;eule;hochhaus;badewanne;herd;geschirrspüler;mikrowelle;gondel;gondel;lineal;couch;strauss;stuhl;schwert;sessel;strauss;tiger;bär;gabel;ohrring;bär;brosche;würfel;Filler;Filler
tiger;kamera;löffel;löffel;fernglas;gabel;lippenstift;couch;schwan;puppe;sessel;couch;kanu;bleistift;bleistift;radiergummi;radiergummi;schornstein;tempel;stuhl;schwan;burg;burg;hochhaus;schneebesen;löffel;ohrring;messer;parfum;messer;bürste;Filler;Filler
ring;löwe;brosche;kassette;ohrring;armband;bank;hochhaus;stuhl;bank;mikrofon;kirche;schwert;puppe;würfel;kaffeemaschine;pfeife;kühlschrank;mikrofon;pinsel;waage;bank;ente;briefmarke;parfum;ohrring;streichholz;leopard;löffel;leopard;mikrofon;Filler;Filler
schneebesen;ampel;tiger;pfeife;tiger;leopard;ente;baby;pinsel;schwan;bürste;briefkasten;klammer;kaffeemaschine;kühlschrank;u-boot;yacht;gondel;stuhl;hochhaus;schloss;ente;stuhl;pinsel;kopfhörer;käfig;kelle;armband;löwe;ring;fernglas;Filler;Filler
leopard;brosche;messer;panther;glocke;messer;kirche;zigarette;taube;hochhaus;stuhl;ampel;gondel;radiergummi;klammer;schere;schere;bleistift;ente;sessel;couch;ball;schloss;sessel;armband;messer;löwe;gabel;ohrring;kelle;kassette;Filler;Filler
armband;messer;briefmarke;ohrring;messer;steckdose;couch;schwan;hochhaus;sessel;schwan;strauss;kühlschrank;kanu;segelschiff;baby;spaghetti;cd;kerze;schwamm;eule;tempel;eule;eule;steckdose;kette;kopfkissen;panther;gabel;löwe;badewanne;Filler;Filler
kelle;baby;armband;gabel;panther;panther;teppich;schloss;hocker;kopfhörer;würfel;ball;bleistift;mülleimer;kamera;kühlschrank;segelschiff;segelschiff;bank;tempel;tempel;schwan;bank;kirche;leopard;brille;messer;brosche;panther;spaghetti;steckdose;Filler;Filler
kamera;armband;schneebesen;bär;brosche;kelle;strauss;sessel;eule;schloss;hocker;fernglas;yacht;lineal;radiergummi;klammer;mikrowelle;geschirrspüler;strauss;couch;hocker;brille;zigarette;stuhl;brosche;schneebesen;kopfhörer;kelle;armband;löffel;spaghetti;Filler;Filler
löwe;leopard;käfig;ring;schneebesen;kette;baby;strauss;kirche;ente;strauss;schwan;geschirrspüler;segelschiff;yacht;lippenstift;bleistift;klammer;burg;taube;pfeife;briefmarke;taube;schwan;kelle;löwe;bürste;fernglas;kassette;brille;schlüssel;Filler;Filler
kette;puppe;löwe;badewanne;bär;tiger;tempel;kirche;ball;stuhl;tempel;hocker;ball;mikrowelle;pinsel;kanu;zigarette;yacht;hocker;tafel;hochhaus;stuhl;couch;burg;bär;streichholz;bär;kette;messer;armband;mülleimer;Filler;Filler
spaghetti;fenster;ring;schneebesen;fenster;löffel;eule;hocker;sessel;käfig;couch;burg;würfel;klammer;herd;mikrowelle;herd;bürste;taube;schloss;fernglas;kirche;kirche;couch;kette;ring;armband;bär;waage;fächer;briefmarke;Filler;Filler
panther;ring;fächer;kette;ring;ohrring;stuhl;ente;schloss;kirche;fächer;eule;u-boot;u-boot;käfig;spaghetti;würfel;mikrowelle;fernglas;ente;strauss;eule;strauss;glocke;gabel;leopard;puppe;fächer;brosche;bär;kopfkissen;Filler;Filler
messer;gabel;bär;glocke;leopard;schwert;schloss;badewanne;mülleimer;hocker;taube;stuhl;schere;waage;kanu;fernglas;lineal;u-boot;hochhaus;hocker;kirche;sessel;briefmarke;waage;badewanne;glocke;leopard;ring;schneebesen;kette;luftballon;Filler;Filler
ball;tiger;ohrring;messer;kerze;kopfkissen;taube;burg;bank;schornstein;kirche;tempel;pinsel;schere;kaffeemaschine;herd;geschirrspüler;spaghetti;schwan;schwert;mikrofon;kamera;cd;schloss;ring;gabel;kette;schneebesen;tiger;pinsel;ventilator;Filler;Filler
brosche;ohrring;fernglas;armband;kopfkissen;brosche;sessel;eule;strauss;strauss;glocke;taube;mikrowelle;spaghetti;schere;yacht;teppich;herd;schwamm;schwan;ente;strauss;schwan;ente;löwe;armband;löffel;löwe;ring;panther;briefkasten;Filler;Filler
löffel;schneebesen;schwamm;leopard;armband;schneebesen;briefmarke;bank;fernglas;brille;eule;bank;lineal;yacht;bürste;bleistift;u-boot;schere;kirche;bank;sessel;couch;hochhaus;hocker;löffel;panther;panther;ball;kelle;gabel;schornstein;Filler;Filler
parfum;panther;kelle;kelle;kelle;teppich;burg;tempel;tempel;burg;schloss;hochhaus;segelschiff;herd;gondel;geschirrspüler;kaffeemaschine;mikrofon;eule;kirche;glocke;schloss;ventilator;tempel;ohrring;ampel;ring;löffel;ampel;ohrring;lippenstift;Filler;Filler
ohrring;kette;kette;brosche;löwe;ring;schwamm;taube;couch;couch;bank;ente;kaffeemaschine;schornstein;geschirrspüler;segelschiff;klammer;kaffeemaschine;bürste;eule;burg;taube;mikrofon;taube;schwamm;brosche;schneebesen;tiger;käfig;tiger;streichholz;Filler;Filler
bär;löffel;leopard;tiger;kette;bär;schwan;stuhl;ente;taube;ente;sessel;parfum;gondel;lineal;lineal;kanu;radiergummi;sessel;würfel;bank;hocker;hocker;bank;messer;tiger;tiger;kopfkissen;leopard;schneebesen;cd;Filler;Filler
ventilator;bär;gabel;zigarette;gabel;ventilator;hocker;waage;schwert;tempel;burg;schloss;radiergummi;kühlschrank;u-boot;teppich;kühlschrank;kanu;schloss;burg;taube;hochhaus;tempel;schwert;panther;kelle;brosche;kopfhörer;kette;schornstein;schwamm;Filler;Filler
